"TIME","Tov"
178.5750972,190.688
178.5824305,190.714
178.5884305,190.712
178.5950972,190.691
178.6024305,190.717
178.6084305,190.715
178.6148305,190.694
178.6210972,190.715
178.6264305,190.724
178.6337638,190.698
178.6410972,190.718
178.6464305,190.727
178.6537638,190.701
178.6610972,190.721
178.6660972,190.731
178.6734305,190.705
178.6807638,190.723
178.6867638,190.732
178.6940972,190.707
178.7014305,190.728
178.7074305,190.733
178.7144305,190.709
178.7200972,190.725
178.7260972,190.74
178.7334305,190.714
178.7407638,190.732
178.7467638,190.742
178.7540972,190.716
178.7614305,190.738
178.7660972,190.746
178.7734305,190.72
178.7807638,190.738
178.7867638,190.748
178.7940972,190.722
178.8014305,190.744
178.8074305,190.749
178.8144305,190.724
178.8200972,190.741
178.8260972,190.755
178.8334305,190.729
178.8407638,190.747
178.8467638,190.757
178.8540972,190.731
178.8597638,190.746
178.8657638,190.762
178.8730972,190.737
178.8804305,190.752
178.8864305,190.765
178.8937638,190.739
178.9010972,190.759
178.9064305,190.768
178.9117638,190.748
178.9177638,190.747
178.9244305,190.772
178.9317638,190.751
178.9377638,190.75
178.9444305,190.776
178.9517638,190.754
178.9577638,190.754
178.9630972,190.776
178.9704305,190.763
178.9764305,190.753
178.9837638,190.781
178.9910972,190.764
178.9964305,190.756
179.0037638,190.785
179.0092305,190.775
179.0150972,190.758
179.0224305,190.784
179.0284305,190.782
179.0350972,190.761
179.0424305,190.788
179.0484305,190.785
179.0550972,190.764
179.0604305,190.782
179.0664305,190.795
179.0737638,190.769
179.0810972,190.789
179.0864305,190.798
179.0937638,190.772
179.1010972,190.792
179.1064305,190.801
179.1117638,190.781
179.1177638,190.78
179.1244305,190.805
179.1317638,190.784
179.1377638,190.783
179.1444305,190.809
179.1517638,190.787
179.1577638,190.786
179.1630972,190.809
179.1704305,190.796
179.1764305,190.786
179.1837638,190.814
179.1910972,190.796
179.1964305,190.789
179.2037638,190.818
179.2092305,190.808
179.2150972,190.791
179.2224305,190.817
179.2284305,190.814
179.2350972,190.794
179.2424305,190.82
179.2484305,190.818
179.2550972,190.797
179.2604305,190.815
179.2664305,190.827
179.2737638,190.801
179.2810972,190.821
179.2864305,190.83
179.2937638,190.804
179.3010972,190.824
179.3064305,190.834
179.3117638,190.813
179.3177638,190.812
179.3244305,190.838
179.3317638,190.816
179.3377638,190.816
179.3444305,190.841
179.3517638,190.819
179.3577638,190.819
179.3630972,190.841
179.3704305,190.828
179.3764305,190.818
179.3837638,190.846
179.3910972,190.828
179.3964305,190.821
179.4037638,190.85
179.4092305,190.84
179.4150972,190.823
179.4224305,190.849
179.4284305,190.846
179.4350972,190.826
179.4424305,190.852
179.4484305,190.849
179.4550972,190.829
179.4604305,190.847
179.4664305,190.859
179.4737638,190.833
179.4810972,190.853
179.4864305,190.862
179.4937638,190.836
179.5010972,190.856
179.5064305,190.865
179.5117638,190.845
179.5177638,190.844
179.5244305,190.869
179.5317638,190.848
179.5377638,190.847
179.5444305,190.872
179.5517638,190.851
179.5577638,190.85
179.5630972,190.873
179.5704305,190.86
179.5764305,190.849
179.5837638,190.878
179.5910972,190.86
179.5964305,190.853
179.6037638,190.881
179.6092305,190.871
179.6150972,190.854
179.6224305,190.88
179.6284305,190.878
179.6350972,190.857
179.6424305,190.883
179.6484305,190.881
179.6550972,190.86
179.6604305,190.878
179.6664305,190.89
179.6737638,190.864
179.6810972,190.884
179.6864305,190.893
179.6937638,190.867
179.7010972,190.888
179.7060972,190.897
179.7134305,190.871
179.7207638,190.889
179.7267638,190.899
179.7340972,190.873
179.7414305,190.895
179.7474305,190.9
179.7528972,190.878
179.7594305,190.888
179.7654305,190.906
179.7727638,190.881
179.7794305,190.891
179.7854305,190.91
179.7927638,190.885
179.7994305,190.895
179.8050972,190.913
179.8124305,190.889
179.8184305,190.893
179.8250972,190.916
179.8324305,190.892
179.8384305,190.896
179.8450972,190.919
179.8520972,190.896
179.8570972,190.894
179.8644305,190.922
179.8717638,190.9
179.8777638,190.9
179.8844305,190.925
179.8917638,190.903
179.8977638,190.903
179.9030972,190.926
179.9104305,190.912
179.9164305,190.902
179.9237638,190.93
179.9310972,190.912
179.9364305,190.905
179.9437638,190.933
179.9510972,190.915
179.9557638,190.906
